排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
1157,Hassan Al-Haydos (captain),FW,QAT,10.6,7.17,-10.91,10.6,7.17,,,4
1158,Karim Boudiaf,MF,QAT,10.6,7.17,-10.91,10.6,7.17,,,6
1159,Homam Ahmed,DF,QAT,10.6,7.17,-10.91,10.6,7.17,,,17
1160,Sultan Al-Brake,DF,QAT,10.6,7.17,-10.91,10.6,7.17,,,6
1161,Weverton,GK,BRA,10.6,7.17,-10.91,10.6,7.17,,,1
1162,Keeto Thermoncy,DF,HAI,10.6,7.17,-10.91,10.6,7.17,,,1
1163,Dominique Simon,MF,HAI,10.6,7.17,-10.91,10.6,7.17,,,1
1164,Kenny McLean,MF,SCO,10.6,7.17,-10.91,10.6,7.17,,,8
1165,Gatito Fernández,GK,PAR,10.6,7.17,-10.91,10.6,7.17,,,13
1166,Miloš Degenek,DF,AUS,10.6,7.17,-10.91,10.6,7.17,,,7
1167,Awer Mabil,FW,AUS,10.6,7.17,-10.91,10.6,7.17,,,5
1168,Aziz Behich,DF,AUS,10.6,7.17,-10.91,10.6,7.17,,,17
1169,Sherel Floranus,DF,CUW,10.6,7.17,-10.91,10.6,7.17,,,12
1170,Livano Comenencia,MF,CUW,10.6,7.17,-10.91,10.6,7.17,,,11
1171,Jeremy Antonisse,FW,CUW,10.6,7.17,-10.91,10.6,7.17,,,10
1172,Jürgen Locadia,FW,CUW,10.6,7.17,-10.91,10.6,7.17,,,8
1173,Aymen Dahmen,GK,TUN,10.6,7.17,-10.91,10.6,7.17,,,9
1174,Sabri Ben Hessen,GK,TUN,10.6,7.17,-10.91,10.6,7.17,,,1
1175,Mohamed Amine Ben Hamida,DF,TUN,10.6,7.17,-10.91,10.6,7.17,,,4
1176,Yasser Ibrahim,DF,EGY,10.6,7.17,-10.91,10.6,7.17,,,5
1177,Alireza Beiranvand,GK,IRN,10.6,7.17,-10.91,10.6,7.17,,,15
1178,Jesse Randall,FW,NZL,10.6,7.17,-10.91,10.6,7.17,,,4
1179,Márcio Rosa,GK,CPV,10.6,7.17,-10.91,10.6,7.17,,,2
1180,CJ dos Santos,GK,CPV,10.6,7.17,-10.91,10.6,7.17,,,1
1181,Roberto Lopes,DF,CPV,10.6,7.17,-10.91,10.6,7.17,,,12
1182,Nawaf Al-Aqidi,GK,KSA,10.6,7.17,-10.91,10.6,7.17,,,11
1183,Mohammed Al-Owais,GK,KSA,10.6,7.17,-10.91,10.6,7.17,,,11
1184,Guillermo Varela,DF,URU,10.6,7.17,-10.91,10.6,7.17,,,10
1185,Mory Diaw,GK,SEN,10.6,7.17,-10.91,10.6,7.17,,,3
1186,Mustafa Saadoon,DF,IRQ,10.6,7.17,-10.91,10.6,7.17,,,13
1187,Ørjan Nyland,GK,NOR,10.6,7.17,-10.91,10.6,7.17,,,12
1188,Melvin Mastil,GK,ALG,10.6,7.17,-10.91,10.6,7.17,,,1
1189,Alessandro Schöpf,MF,AUT,10.6,7.17,-10.91,10.6,7.17,,,3
1190,Abdallah Nasib,DF,JOR,10.6,7.17,-10.91,10.6,7.17,,,23
1191,Mo Abualnadi,DF,JOR,10.6,7.17,-10.91,10.6,7.17,,,10
1192,Abdallah Al-Fakhouri,GK,JOR,10.6,7.17,-10.91,10.6,7.17,,,2
1193,Ali Azaizeh,FW,JOR,10.6,7.17,-10.91,10.6,7.17,,,3
1194,Jamshid Iskanderov,MF,UZB,10.6,7.17,-10.91,10.6,7.17,,,9
1195,Botirali Ergashev,GK,UZB,10.6,7.17,-10.91,10.6,7.17,,,1
1196,Dostonbek Khamdamov,MF,UZB,10.6,7.17,-10.91,10.6,7.17,,,2
1197,Abdulla Abdullaev,DF,UZB,10.6,7.17,-10.91,10.6,7.17,,,10
1198,Bekhruz Karimov,DF,UZB,10.6,7.17,-10.91,10.6,7.17,,,2
1199,David Ospina,GK,COL,10.6,7.17,-10.91,10.6,7.17,,,1
1200,Joseph Anang,GK,GHA,10.6,7.17,-10.91,10.6,7.17,,,1
1201,Luis Mejía,GK,PAN,10.6,7.17,-10.91,10.6,7.17,,,5
1202,Jiovany Ramos,DF,PAN,10.6,7.17,-10.91,10.6,7.17,,,6
1203,Edgardo Fariña,DF,PAN,10.6,7.17,-10.91,10.6,7.17,,,5
1204,Alberto Quintero,MF,PAN,10.6,7.17,-10.91,10.6,7.17,,,3
