排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
472,David Jurásek,DF,CZE,22.66,4.78,8.32,25.76,5.21,20.6,7.17,5
473,Michal Sadílek,MF,CZE,24.96,5.56,8.28,24.96,5.56,,,9
474,Hannes Delcroix,DF,HAI,23.64,5.12,8.28,23.64,5.12,,,7
475,Besfort Zeneli,MF,SWE,24.26,5.33,8.27,24.26,5.33,,,5
476,Ayase Ueda,FW,JPN,24.43,5.39,8.26,26.82,7.34,22.84,7.53,47
477,Nabil Bentaleb,MF,ALG,24.78,5.52,8.22,24.78,5.52,,,8
478,Alfie Jones,DF,CAN,22.82,4.87,8.21,24.31,5.18,21.82,7.34,1
479,Rodrigo Aguirre,FW,URU,24.98,5.59,8.21,24.98,5.59,,,8
480,Roshon van Eijma,DF,CUW,24.25,5.35,8.2,24.25,5.35,,,10
481,Fiston Mayele,FW,COD,23.65,5.15,8.2,23.65,5.15,,,11
482,Nidal Čelik,DF,BIH,23.97,5.27,8.16,23.97,5.27,,,2
483,Rayan,FW,BRA,29.23,7.03,8.14,29.23,7.03,,,2
484,Ayyoub Bouaddi,MF,MAR,29.23,7.03,8.14,29.23,7.03,,,2
485,Alexander Isak,FW,SWE,29.23,7.03,8.14,29.23,7.03,,,6
486,Marc Cucurella,DF,ESP,29.23,7.03,8.14,29.23,7.03,,,7
487,Álex Grimaldo,DF,ESP,29.23,7.03,8.14,,,29.23,7.03,0
488,Dayot Upamecano,DF,FRA,29.23,7.03,8.14,29.23,7.03,,,8
489,Ismaïla Sarr,FW,SEN,29.23,7.03,8.14,29.23,7.03,,,10
490,Igor Sergeev,FW,UZB,24.93,5.6,8.13,24.93,5.6,,,9
491,Yerry Mina,DF,COL,24.25,5.38,8.11,24.25,5.38,,,10
492,Iñaki Williams,FW,GHA,22.56,4.82,8.1,25.5,5.41,20.6,7.17,7
493,Steven Moreira,DF,CPV,23.56,5.17,8.05,23.56,5.17,,,9
494,Nélson Semedo,DF,POR,24.34,5.43,8.05,24.34,5.43,,,5
495,Mbekezeli Mbokazi,DF,RSA,23.85,5.27,8.04,23.85,5.27,,,4
496,John Souttar,DF,SCO,23.7,5.22,8.04,23.7,5.22,,,8
497,Sergio Rochet,GK,URU,23.96,5.31,8.03,23.96,5.31,,,15
498,Jordy Alcívar,MF,ECU,23.63,5.21,8.0,23.63,5.21,,,6
499,Aimar Sher,MF,IRQ,23.78,5.26,8.0,23.78,5.26,,,7
500,Jonas Adjetey,DF,GHA,24.52,5.51,7.99,24.52,5.51,,,8
501,Gabriel Ávalos,FW,PAR,23.94,5.32,7.98,23.94,5.32,,,13
